%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
72725.445,297.061,355.134,132.590,-0.024,-0.010,5.000
72721.414,297.061,355.055,132.430,-0.007,-0.010,5.000
72725.445,297.061,354.976,132.110,0.009,0.011,5.000
72717.383,297.063,354.976,132.430,-0.007,-0.021,5.000
72721.414,297.065,354.897,132.110,-0.024,0.011,5.000
72729.477,297.063,355.055,131.950,-0.024,-0.010,5.000
72717.383,297.061,355.055,131.630,-0.007,-0.010,5.000
72717.383,297.065,354.739,131.790,-0.007,0.001,5.000
72717.383,297.063,354.976,131.790,-0.007,0.011,5.000
72709.320,297.065,354.976,131.790,-0.024,0.022,5.000
72713.351,297.066,354.976,131.310,0.009,-0.010,5.000
72717.383,297.065,354.976,131.310,0.009,0.011,5.000
72709.320,297.065,354.818,131.149,-0.007,-0.010,5.000
72713.351,297.065,354.897,131.149,-0.007,-0.010,5.000
72705.289,297.065,354.818,130.669,0.009,-0.010,5.000
72701.257,297.065,354.739,131.310,0.009,0.001,5.000
72709.320,297.068,354.818,130.829,-0.007,0.022,5.000
72709.320,297.065,354.818,130.669,0.009,0.001,5.000
72713.351,297.066,354.818,130.509,0.009,-0.010,5.000
72701.257,297.065,354.659,130.669,-0.007,0.001,5.000
72705.289,297.066,354.739,130.349,0.025,0.001,5.000
72705.289,297.066,354.659,130.509,0.009,0.022,5.000
72709.320,297.065,354.659,130.189,-0.007,0.001,5.000
72705.289,297.063,354.659,130.509,-0.024,0.001,5.000
72705.289,297.065,354.659,130.349,-0.007,-0.010,5.000
72705.289,297.065,354.501,130.029,0.025,0.001,5.000
72709.320,297.068,354.580,130.189,0.009,0.001,5.000
72713.351,297.065,354.580,130.029,0.009,-0.010,5.000
72709.320,297.065,354.501,129.869,-0.007,0.011,5.000
72709.320,297.066,354.264,130.189,-0.007,-0.021,5.000
